validation_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
714.3693237304688,338.03390622138977,False,1,f306f4a1,2023-08-17_21-56-31,1692309391,338.03390622138977,162655,ip-172-31-38-240,172.31.38.240,338.03390622138977,1
708.538818359375,322.8274099826813,False,2,f306f4a1,2023-08-17_22-01-53,1692309713,660.861316204071,162655,ip-172-31-38-240,172.31.38.240,660.861316204071,2
706.8681030273438,321.48746848106384,False,3,f306f4a1,2023-08-17_22-07-15,1692310035,982.3487846851349,162655,ip-172-31-38-240,172.31.38.240,982.3487846851349,3
706.1099243164062,322.0098693370819,False,4,f306f4a1,2023-08-17_22-12-37,1692310357,1304.3586540222168,162655,ip-172-31-38-240,172.31.38.240,1304.3586540222168,4
704.951904296875,327.5761568546295,False,5,f306f4a1,2023-08-17_22-18-05,1692310685,1631.9348108768463,162655,ip-172-31-38-240,172.31.38.240,1631.9348108768463,5
704.5991821289062,330.88781785964966,False,6,f306f4a1,2023-08-17_22-23-35,1692311015,1962.822628736496,162655,ip-172-31-38-240,172.31.38.240,1962.822628736496,6
704.8856811523438,326.68848299980164,False,7,f306f4a1,2023-08-17_22-29-02,1692311342,2289.5111117362976,162655,ip-172-31-38-240,172.31.38.240,2289.5111117362976,7
704.796875,334.6756737232208,False,8,f306f4a1,2023-08-17_22-34-37,1692311677,2624.1867854595184,162655,ip-172-31-38-240,172.31.38.240,2624.1867854595184,8
704.9950561523438,326.5015287399292,False,9,f306f4a1,2023-08-17_22-40-03,1692312003,2950.6883141994476,162655,ip-172-31-38-240,172.31.38.240,2950.6883141994476,9
704.9613037109375,328.4537374973297,False,10,f306f4a1,2023-08-17_22-45-32,1692312332,3279.1420516967773,162655,ip-172-31-38-240,172.31.38.240,3279.1420516967773,10
705.0062866210938,330.15516543388367,False,11,f306f4a1,2023-08-17_22-51-02,1692312662,3609.297217130661,162655,ip-172-31-38-240,172.31.38.240,3609.297217130661,11
705.3255004882812,325.5257124900818,False,12,f306f4a1,2023-08-17_22-56-27,1692312987,3934.822929620743,162655,ip-172-31-38-240,172.31.38.240,3934.822929620743,12
705.5277709960938,324.13934206962585,False,13,f306f4a1,2023-08-17_23-01-52,1692313312,4258.962271690369,162655,ip-172-31-38-240,172.31.38.240,4258.962271690369,13
705.56201171875,328.9606456756592,False,14,f306f4a1,2023-08-17_23-07-21,1692313641,4587.922917366028,162655,ip-172-31-38-240,172.31.38.240,4587.922917366028,14
706.1484985351562,324.8339669704437,False,15,f306f4a1,2023-08-17_23-12-45,1692313965,4912.756884336472,162655,ip-172-31-38-240,172.31.38.240,4912.756884336472,15
706.1907958984375,323.3319900035858,False,16,f306f4a1,2023-08-17_23-18-09,1692314289,5236.088874340057,162655,ip-172-31-38-240,172.31.38.240,5236.088874340057,16
706.4381103515625,324.2496976852417,False,17,f306f4a1,2023-08-17_23-23-33,1692314613,5560.338572025299,162655,ip-172-31-38-240,172.31.38.240,5560.338572025299,17
706.972412109375,327.09109234809875,False,18,f306f4a1,2023-08-17_23-29-00,1692314940,5887.429664373398,162655,ip-172-31-38-240,172.31.38.240,5887.429664373398,18
707.1446533203125,323.60919857025146,False,19,f306f4a1,2023-08-17_23-34-24,1692315264,6211.038862943649,162655,ip-172-31-38-240,172.31.38.240,6211.038862943649,19
707.4793701171875,333.7705497741699,False,20,f306f4a1,2023-08-17_23-39-57,1692315597,6544.809412717819,162655,ip-172-31-38-240,172.31.38.240,6544.809412717819,20
707.8145751953125,327.51964473724365,False,21,f306f4a1,2023-08-17_23-45-25,1692315925,6872.329057455063,162655,ip-172-31-38-240,172.31.38.240,6872.329057455063,21
708.3055419921875,322.81740140914917,False,22,f306f4a1,2023-08-17_23-50-48,1692316248,7195.146458864212,162655,ip-172-31-38-240,172.31.38.240,7195.146458864212,22
708.411865234375,325.3484947681427,False,23,f306f4a1,2023-08-17_23-56-13,1692316573,7520.494953632355,162655,ip-172-31-38-240,172.31.38.240,7520.494953632355,23
708.700927734375,328.6887061595917,False,24,f306f4a1,2023-08-18_00-01-42,1692316902,7849.183659791946,162655,ip-172-31-38-240,172.31.38.240,7849.183659791946,24
708.9108276367188,330.27435779571533,False,25,f306f4a1,2023-08-18_00-07-12,1692317232,8179.458017587662,162655,ip-172-31-38-240,172.31.38.240,8179.458017587662,25
709.5518188476562,322.99352622032166,False,26,f306f4a1,2023-08-18_00-12-35,1692317555,8502.451543807983,162655,ip-172-31-38-240,172.31.38.240,8502.451543807983,26
709.507080078125,325.50444412231445,False,27,f306f4a1,2023-08-18_00-18-01,1692317881,8827.955987930298,162655,ip-172-31-38-240,172.31.38.240,8827.955987930298,27
710.1547241210938,325.2651135921478,False,28,f306f4a1,2023-08-18_00-23-26,1692318206,9153.221101522446,162655,ip-172-31-38-240,172.31.38.240,9153.221101522446,28
710.1192626953125,328.5121109485626,False,29,f306f4a1,2023-08-18_00-28-54,1692318534,9481.733212471008,162655,ip-172-31-38-240,172.31.38.240,9481.733212471008,29
710.5234375,325.4160132408142,False,30,f306f4a1,2023-08-18_00-34-20,1692318860,9807.149225711823,162655,ip-172-31-38-240,172.31.38.240,9807.149225711823,30
711.1222534179688,325.6318328380585,False,31,f306f4a1,2023-08-18_00-39-45,1692319185,10132.781058549881,162655,ip-172-31-38-240,172.31.38.240,10132.781058549881,31
711.1386108398438,328.5919270515442,False,32,f306f4a1,2023-08-18_00-45-14,1692319514,10461.372985601425,162655,ip-172-31-38-240,172.31.38.240,10461.372985601425,32
711.4729614257812,329.54315972328186,False,33,f306f4a1,2023-08-18_00-50-43,1692319843,10790.916145324707,162655,ip-172-31-38-240,172.31.38.240,10790.916145324707,33
711.8795166015625,323.3909683227539,False,34,f306f4a1,2023-08-18_00-56-07,1692320167,11114.307113647461,162655,ip-172-31-38-240,172.31.38.240,11114.307113647461,34
712.1516723632812,329.2144892215729,False,35,f306f4a1,2023-08-18_01-01-36,1692320496,11443.521602869034,162655,ip-172-31-38-240,172.31.38.240,11443.521602869034,35
712.4047241210938,325.53340244293213,False,36,f306f4a1,2023-08-18_01-07-02,1692320822,11769.055005311966,162655,ip-172-31-38-240,172.31.38.240,11769.055005311966,36
712.890869140625,326.64394187927246,False,37,f306f4a1,2023-08-18_01-12-28,1692321148,12095.698947191238,162655,ip-172-31-38-240,172.31.38.240,12095.698947191238,37
713.2354736328125,326.7666175365448,False,38,f306f4a1,2023-08-18_01-17-55,1692321475,12422.465564727783,162655,ip-172-31-38-240,172.31.38.240,12422.465564727783,38
713.6249389648438,324.59647130966187,False,39,f306f4a1,2023-08-18_01-23-20,1692321800,12747.062036037445,162655,ip-172-31-38-240,172.31.38.240,12747.062036037445,39
713.7821044921875,325.1993429660797,False,40,f306f4a1,2023-08-18_01-28-45,1692322125,13072.261379003525,162655,ip-172-31-38-240,172.31.38.240,13072.261379003525,40
714.28955078125,326.957129240036,False,41,f306f4a1,2023-08-18_01-34-12,1692322452,13399.21850824356,162655,ip-172-31-38-240,172.31.38.240,13399.21850824356,41
714.642578125,325.493940114975,False,42,f306f4a1,2023-08-18_01-39-37,1692322777,13724.712448358536,162655,ip-172-31-38-240,172.31.38.240,13724.712448358536,42
714.7222290039062,328.58449697494507,False,43,f306f4a1,2023-08-18_01-45-06,1692323106,14053.29694533348,162655,ip-172-31-38-240,172.31.38.240,14053.29694533348,43
